_key,_ts,time_ms,time_iso,hash,coin,usdc,szi,fundingRate,nSamples,type
funding-c6a26fee790dc1e7b2fb884c93fc3ced250299cb,1783195200036,1783195200036,2026-07-05T04:00:00.036000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:INTC,0.000131,-0.17,0.00000625,,funding
funding-922011b5f1558c8f2f553dd0049e9892cd994119,1783195200036,1783195200036,2026-07-05T04:00:00.036000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:BRENTOIL,-0.000208,-0.15,-0.0000192885,,funding
funding-ca8d2e6ab5fba0905de104cdde5c4359230840a1,1783198800023,1783198800023,2026-07-05T05:00:00.023000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,LIT,0.000138,-5.0,0.0000125,,funding
funding-001df17b18eafc48a2e119639d1c20f103190600,1783198800023,1783198800023,2026-07-05T05:00:00.023000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:INTC,0.000131,-0.17,0.00000625,,funding
funding-d5989ba998d7b1c938e8979f846c940f7bcde560,1783198800023,1783198800023,2026-07-05T05:00:00.023000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:BRENTOIL,0.000067,-0.15,0.00000625,,funding
funding-56e885795ba2dd73dbac5ecb37671388ab783e0a,1783202400015,1783202400015,2026-07-05T06:00:00.015000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,LIT,0.00014,-5.0,0.0000125,,funding
funding-0b649aa7a8378e66bbc41b955c2e050f018601df,1783202400015,1783202400015,2026-07-05T06:00:00.015000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:INTC,0.000131,-0.17,0.00000625,,funding
funding-4cb1902ee2942725fbaf7c268840b68a58ba52f5,1783202400015,1783202400015,2026-07-05T06:00:00.015000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:BRENTOIL,0.000067,-0.15,0.00000625,,funding
funding-62442d68446e7f393b490fa397f21057bf015c20,1783206000021,1783206000021,2026-07-05T07:00:00.021000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,LIT,0.000141,-5.0,0.0000125,,funding
funding-03b6daaa079f1c72998f8cd9937380fa6214d5c6,1783206000021,1783206000021,2026-07-05T07:00:00.021000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:INTC,0.000231,-0.17,0.0000109918,,funding
funding-7bca87610d0a4f458f9f8997e6fa08d5aac4f4f3,1783206000021,1783206000021,2026-07-05T07:00:00.021000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:BRENTOIL,0.0004,-0.15,0.0000370039,,funding
funding-3049dbe5cc433e20ee1ab3122db1551da8fc60c0,1783209600077,1783209600077,2026-07-05T08:00:00.077000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,LIT,0.000137,-5.0,0.0000125,,funding
funding-e25aed5bc190f6ab3b8866013d91e3563d59518e,1783209600077,1783209600077,2026-07-05T08:00:00.077000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:BRENTOIL,0.000067,-0.15,0.0000061985,,funding
funding-e347b3409ae7b657af418132c443543010b742e7,1783213200057,1783213200057,2026-07-05T09:00:00.057000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,LIT,0.000137,-5.0,0.0000125,,funding
funding-ef2ae6cbc4ad2a612fda00633f1614a7baae458a,1783213200057,1783213200057,2026-07-05T09:00:00.057000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:BRENTOIL,0.000013,-0.15,0.0000012129,,funding
funding-9562d2d385db76a7d790720d64c9b9a940214f76,1783216800021,1783216800021,2026-07-05T10:00:00.021000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,LIT,-0.000086,-5.0,-0.0000078498,,funding
funding-524bee720c8aa5f8af02e7a8a50b848ce15552c2,1783216800021,1783216800021,2026-07-05T10:00:00.021000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:BRENTOIL,0.000067,-0.15,0.00000625,,funding
funding-5b3df3f72410aa061b541dac75aa2a2a86c6814f,1783220400031,1783220400031,2026-07-05T11:00:00.031000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,LIT,0.000137,-5.0,0.0000125,,funding
funding-fe08fbcbaeee2d1b6080f28bdedea931448af9f8,1783220400031,1783220400031,2026-07-05T11:00:00.031000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:BRENTOIL,0.000339,-0.15,0.0000313412,,funding
funding-7029545da64f293bfdfe9ace03cbd662c369f43b,1783224000046,1783224000046,2026-07-05T12:00:00.046000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,LIT,0.000136,-5.0,0.0000125,,funding
funding-94f06e14f513ad16e6c8840b0fd54fe2fc44a03a,1783306800027,1783306800027,2026-07-06T11:00:00.027000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:XYZ100,0.00011,-0.0006,0.00000625,,funding
funding-8f60b7ae7b25b37d15a565bfcea73b24e91be550,1783306800027,1783306800027,2026-07-06T11:00:00.027000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:NBIS,0.000543,-0.05,0.0000493771,,funding
funding-2ab026ae13804e47efe5d15cac35b4263c5a3b58,1783310400055,1783310400055,2026-07-06T12:00:00.055000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:XYZ100,0.00011,-0.0006,0.00000625,,funding
funding-980404e9cc1c96892db9a8e0580fe21d1b65c8cf,1783310400055,1783310400055,2026-07-06T12:00:00.055000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:NBIS,0.000388,-0.05,0.0000351896,,funding
funding-a57db5533afcae0ecec17d4446b90390ab8275b3,1783314000021,1783314000021,2026-07-06T13:00:00.021000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:XYZ100,0.00011,-0.0006,0.00000625,,funding
funding-e540f8068b110dab655cf262b0962736f085a54c,1783314000021,1783314000021,2026-07-06T13:00:00.021000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:NBIS,0.000528,-0.05,0.0000475425,,funding
funding-2f9dc026ad73c256f1c87e8e7f458c0574679d43,1783317600057,1783317600057,2026-07-06T14:00:00.057000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:XYZ100,0.00011,-0.0006,0.00000625,,funding
funding-06da2203f9c8dc9b0d99be2e83daad7a2cb2f597,1783317600057,1783317600057,2026-07-06T14:00:00.057000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:NBIS,0.000467,-0.05,0.0000420163,,funding
funding-4337511d327a51c8b4f9b05ed444b6e11d121a42,1783321200035,1783321200035,2026-07-06T15:00:00.035000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:XYZ100,0.000111,-0.0006,0.00000625,,funding
funding-8bfe2649ffad879dbfff8c663a71990bd4400efb,1783321200035,1783321200035,2026-07-06T15:00:00.035000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:NBIS,0.000286,-0.05,0.0000256114,,funding
funding-4f74c19e2b158ab6d97e0b91b1cfa01e858ae737,1783324800012,1783324800012,2026-07-06T16:00:00.012000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:XYZ100,0.000185,-0.001,0.00000625,,funding
funding-7c8368c0b7e1427d52ada25afe84f327fbb15251,1783324800012,1783324800012,2026-07-06T16:00:00.012000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:NBIS,0.000558,-0.05,0.0000500561,,funding
funding-d15d89be40026e4a8f0046466b4f955fc38c7c83,1783328400015,1783328400015,2026-07-06T17:00:00.015000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:XYZ100,0.000185,-0.001,0.00000625,,funding
funding-561507bc655bbc3f313eda49f38cf204fac09032,1783328400015,1783328400015,2026-07-06T17:00:00.015000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:NBIS,0.000723,-0.05,0.0000648223,,funding
funding-bc50b180a6a31a9a90ccc853f060fcd774248ee0,1783332000027,1783332000027,2026-07-06T18:00:00.027000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:XYZ100,0.000185,-0.001,0.00000625,,funding
funding-d17a3f6f1aacd4a71e81094e13cefeeaf5e6e8aa,1783332000027,1783332000027,2026-07-06T18:00:00.027000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:NBIS,0.000513,-0.05,0.0000461918,,funding
funding-d415302c75d504ee2fbaaf2f650ece51e4e6b574,1783335600052,1783335600052,2026-07-06T19:00:00.052000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:XYZ100,0.000185,-0.001,0.00000625,,funding
funding-7359349830092a9c08157c42f1983f2af1efcf0a,1783335600052,1783335600052,2026-07-06T19:00:00.052000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:NBIS,0.000471,-0.05,0.0000427778,,funding
funding-ab3c3b37f0fe4d440acbdc176c73912c13634d72,1783339200006,1783339200006,2026-07-06T20:00:00.006000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:XYZ100,0.000185,-0.001,0.00000625,,funding
funding-7d1ec327e285a6983650f9b57e144765a4c8cc0a,1783339200006,1783339200006,2026-07-06T20:00:00.006000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:NBIS,0.00036,-0.05,0.0000326345,,funding
funding-1407234bc27196547bafea1e1adcf436b0af9c0b,1783342800006,1783342800006,2026-07-06T21:00:00.006000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:XYZ100,0.000185,-0.001,0.00000625,,funding
funding-9b032f9d4d9cbd16b5eafcfb9b5fe43b2c7bb4a7,1783342800006,1783342800006,2026-07-06T21:00:00.006000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:NBIS,0.00025,-0.05,0.0000225941,,funding
funding-b043cd98dd4939618880a236a5cd7fa86443919d,1783350000126,1783350000126,2026-07-06T23:00:00.126000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:GOOGL,0.000417,-0.09,0.0000128166,,funding
funding-d7f43d12f62f76cead7c9623f0f5f0d2f1be10df,1783400400044,1783400400044,2026-07-07T13:00:00.044000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,XMR,0.000775,-0.04,0.0000595087,,funding
funding-992d68dccb97e2f64bae2eec040709da8a0354d8,1783400400044,1783400400044,2026-07-07T13:00:00.044000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:MSFT,-0.000268,0.028,0.0000246094,,funding
funding-02ac1b21834bc973491cb630cf8db97a422e441c,1783404000057,1783404000057,2026-07-07T14:00:00.057000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,XMR,0.000913,-0.04,0.000070028,,funding
funding-a313735a79a7141089915361d0bfef9b3c2a6c33,1783404000057,1783404000057,2026-07-07T14:00:00.057000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:MSFT,-0.000272,0.028,0.0000250497,,funding
funding-a27342b5c357afe182d9186f6fd26b18c1199bbd,1783407600030,1783407600030,2026-07-07T15:00:00.030000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,XMR,0.000752,-0.04,0.0000577587,,funding
funding-71693a72e3ba14907934ce9c3a3ff64a262297fe,1783407600030,1783407600030,2026-07-07T15:00:00.030000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:MSFT,-0.000324,0.028,0.0000298098,,funding
funding-e42ddef4a5f8096d0839516bf66f31834c4c9a34,1783411200059,1783411200059,2026-07-07T16:00:00.059000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,XMR,0.000692,-0.04,0.000053064,,funding
funding-edae1eae513fb155165b93e12e115f49d8a18f5c,1783411200059,1783411200059,2026-07-07T16:00:00.059000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:MSFT,-0.000361,0.028,0.000033145,,funding
funding-e85d7d92987dad8ceb956ed64d571f2e47ab7526,1783414800050,1783414800050,2026-07-07T17:00:00.050000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,XMR,0.000669,-0.073,0.0000281972,,funding
funding-00d47b88afdd798a4836a4e2c8b6867fae7780bb,1783429200060,1783429200060,2026-07-07T21:00:00.060000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,BTC,-0.000269,0.00034,0.0000125,,funding
funding-9799984231ae84d0f58ddd0376d7a7a4c9a222a3,1783429200060,1783429200060,2026-07-07T21:00:00.060000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:SPCX,0.000255,0.07,-0.0000228098,,funding
funding-80fb97b22ef543c7521e0eea36444296fc7a7316,1783490400060,1783490400060,2026-07-08T14:00:00.060000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,ZEC,-0.000241,0.04,0.0000125,,funding
funding-0e3c7d841352ac60ab07a874359a390034ac31c2,1783490400060,1783490400060,2026-07-08T14:00:00.060000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:NVDA,0.00029,-0.08,0.0000185366,,funding
funding-f731fffc25b47cfc01e7e393a16d0701485bc873,1783494000053,1783494000053,2026-07-08T15:00:00.053000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:NVDA,0.000264,-0.08,0.0000168768,,funding
funding-cd0c6ef4bde1d24a29e472da49f0f307ac2d5d1e,1783497600050,1783497600050,2026-07-08T16:00:00.050000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,ETH,-0.000248,0.0113,0.0000125,,funding
funding-a2cfeaaa2fc8b16c018df9da403b7d239791e4e3,1783904400019,1783904400019,2026-07-13T09:00:00.019000+08:00,0x0000000000000000000000000000000000000000000000000000000000000000,xyz:XYZ100,0.000074,-0.0004,0.00000625,,funding
